seed,rule,score
5,global_conditional,0.7365251130071968
5,global0.100_class0.025,0.7348652409650124
5,global0.150_class0.025,0.7353961510826
5,global0.200_class0.025,0.7356931337494542
5,global0.100_class0.050,0.7347386690429984
5,global0.150_class0.050,0.7352988931326343
5,global0.200_class0.050,0.7355780516113114
5,global0.100_class0.075,0.7347386690429984
5,global0.150_class0.075,0.7351678658789655
5,global0.200_class0.075,0.7356123775631703
5,global0.100_class0.100,0.7346076417893296
5,global0.150_class0.100,0.7356051659771623
5,global0.200_class0.100,0.735091683129767
5,global0.100_class0.125,0.7347578338372003
5,global0.150_class0.125,0.7357468193981108
5,global0.200_class0.125,0.7349516271073581
5,global0.100_class0.150,0.7347781190405082
5,global0.150_class0.150,0.7352066856091873
5,global0.200_class0.150,0.7349618427915422
5,global0.100_class0.200,0.7353254644154398
5,global0.150_class0.200,0.7342804660647658
5,global0.200_class0.200,0.7338503297570704
5,global0.100_class0.250,0.7345393008934272
5,global0.150_class0.250,0.7338561388471346
5,global0.200_class0.250,0.7331655177711179
5,global0.100_class0.300,0.7340989489015476
5,global0.150_class0.300,0.7333055737935269
5,global0.200_class0.300,0.7334525461627215
17,global_conditional,0.7110856344475223
17,global0.100_class0.025,0.7102453552716924
17,global0.150_class0.025,0.7106658940280123
17,global0.200_class0.025,0.7107832239721725
17,global0.100_class0.050,0.7101105474980937
17,global0.150_class0.050,0.710661686302806
17,global0.200_class0.050,0.7107832239721725
17,global0.100_class0.075,0.7099574471351651
17,global0.150_class0.075,0.7103711399717824
17,global0.200_class0.075,0.7109211930670952
17,global0.100_class0.100,0.7102410632004447
17,global0.150_class0.100,0.7105091090667051
17,global0.200_class0.100,0.7103641815304732
17,global0.100_class0.125,0.7100917365147149
17,global0.150_class0.125,0.7103641815304732
17,global0.200_class0.125,0.7099458750962072
17,global0.100_class0.150,0.7100766052467092
17,global0.150_class0.150,0.7099391592786141
17,global0.200_class0.150,0.7096546142140645
17,global0.100_class0.200,0.7095303936013281
17,global0.150_class0.200,0.7092480597578071
17,global0.200_class0.200,0.7091098992385928
17,global0.100_class0.250,0.7091041897554096
17,global0.150_class0.250,0.7089693708518587
17,global0.200_class0.250,0.7099322850967571
17,global0.100_class0.300,0.7081406399805495
17,global0.150_class0.300,0.7089581713351215
17,global0.200_class0.300,0.7095116619943959
