seed,rule,score,selected
5,margin_q0.70_or_conf_q0.60,0.7358359740858469,33
5,margin_q0.70_and_conf_q0.70,0.7351340965752625,21
5,margin_q0.70_or_conf_q0.70,0.7359647736736882,29
5,margin_q0.70_and_neural_q0.25,0.7352741525976715,1
5,margin_q0.70_and_neural_q0.40,0.7352741525976715,1
5,margin_q0.70_and_neural_q0.50,0.7356943206648984,3
5,margin_q0.70_and_neural_q0.60,0.7356943206648984,6
5,margin_q0.70_and_neural_q0.70,0.7356943206648984,9
17,w000,0.7072387584804375,0
17,w015,0.7103780702375264,0
17,w030,0.7101253918658145,83
17,tree_conf_q0.25,0.7107957793750584,62
17,tree_conf_q0.40,0.7109295407447749,50
17,tree_conf_q0.50,0.7109295407447749,42
17,tree_conf_q0.60,0.7112193958172387,33
17,tree_conf_q0.70,0.7110781528793856,25
17,tree_conf_q0.75,0.7110781528793856,22
17,tree_conf_q0.80,0.7109401837844628,17
17,tree_conf_q0.85,0.7109401837844628,13
17,tree_conf_q0.90,0.7105185986242605,9
17,tree_margin_q0.25,0.7107957793750584,62
17,tree_margin_q0.40,0.7107957793750584,50
17,tree_margin_q0.50,0.7110856344475223,42
17,tree_margin_q0.60,0.7109443915096691,33
17,tree_margin_q0.70,0.7110781528793856,25
17,tree_margin_q0.75,0.7109401837844628,21
17,tree_margin_q0.80,0.7109401837844628,17
17,tree_margin_q0.85,0.7105185986242605,13
17,tree_margin_q0.90,0.7105185986242605,9
17,neural_margin_q0.25,0.7099767861283771,21
17,neural_margin_q0.40,0.7092926053880731,33
17,neural_margin_q0.50,0.7094263667577896,42
17,neural_margin_q0.60,0.7095695222090681,50
17,neural_margin_q0.70,0.7094245946728363,58
17,neural_margin_q0.75,0.7095658376106894,62
17,neural_margin_q0.80,0.7095658376106894,66
17,neural_margin_q0.85,0.7095658376106894,70
17,neural_margin_q0.90,0.7097038067056122,74
17,margin_q0.25_and_conf_q0.25,0.7107957793750584,55
17,margin_q0.25_or_conf_q0.25,0.7107957793750584,69
17,margin_q0.25_and_conf_q0.40,0.7107957793750584,47
17,margin_q0.25_or_conf_q0.40,0.7109295407447749,65
17,margin_q0.25_and_conf_q0.50,0.7109295407447749,42
17,margin_q0.25_or_conf_q0.50,0.7107957793750584,62
17,margin_q0.25_and_conf_q0.60,0.7112193958172387,33
17,margin_q0.25_or_conf_q0.60,0.7107957793750584,62
17,margin_q0.25_and_conf_q0.70,0.7110781528793856,25
17,margin_q0.25_or_conf_q0.70,0.7107957793750584,62
17,margin_q0.25_and_neural_q0.25,0.7103780702375264,12
17,margin_q0.25_and_neural_q0.40,0.7102331427012945,22
