seed,rule,score
5,global_conditional,0.7365251130071968
5,global0.100_et10.025,0.7352578238479953
5,global0.100_et10.050,0.7352578238479953
5,global0.100_et10.075,0.7355054153944734
5,global0.100_et10.100,0.7368541553608714
5,global0.100_et10.125,0.7363300463461963
5,global0.100_et10.150,0.7356251647374358
5,global0.100_et10.200,0.7354387496888982
5,global0.100_et10.250,0.7341008605430334
5,global0.100_et10.300,0.73384211967486
5,global0.150_et10.025,0.7352549081447469
5,global0.150_et10.050,0.735534389922277
5,global0.150_et10.075,0.7351253630457447
5,global0.150_et10.100,0.7367304280881387
5,global0.150_et10.125,0.737014967404981
5,global0.150_et10.150,0.7367258265914228
5,global0.150_et10.200,0.7361610460206721
5,global0.150_et10.250,0.7350452557303656
5,global0.150_et10.300,0.7339883465328937
5,global0.200_et10.025,0.7363747260567308
5,global0.200_et10.050,0.736262689978053
5,global0.200_et10.075,0.736649088741577
5,global0.200_et10.100,0.7368902648702719
5,global0.200_et10.125,0.7363300614585403
5,global0.200_et10.150,0.7364588610463816
5,global0.200_et10.200,0.7364579215746536
5,global0.200_et10.250,0.736453702694157
5,global0.200_et10.300,0.7346675481349633
5,global0.100_et20.025,0.7352578238479953
5,global0.100_et20.050,0.7352578238479953
5,global0.100_et20.075,0.7353743881408047
5,global0.100_et20.100,0.7365752302314976
5,global0.100_et20.125,0.7361787338892197
5,global0.100_et20.150,0.7357652207598447
5,global0.100_et20.200,0.7357176748182721
5,global0.100_et20.250,0.7350647493889806
5,global0.100_et20.300,0.7341125726836498
5,global0.150_et20.025,0.7352549081447469
5,global0.150_et20.050,0.735534389922277
5,global0.150_et20.075,0.7356765583666404
5,global0.150_et20.100,0.7367304280881387
5,global0.150_et20.125,0.7365947993377541
5,global0.150_et20.150,0.7361746312705272
5,global0.150_et20.200,0.7367181647334764
5,global0.150_et20.250,0.7358386308383862
5,global0.150_et20.300,0.7350366826676741
5,global0.200_et20.025,0.7363747260567308
5,global0.200_et20.050,0.736262689978053
5,global0.200_et20.075,0.736649088741577
5,global0.200_et20.100,0.7364563203725282
5,global0.200_et20.125,0.7364701174809493
5,global0.200_et20.150,0.7360386929791547
5,global0.200_et20.200,0.7368582149216678
5,global0.200_et20.250,0.7368433246509379
5,global0.200_et20.300,0.7357487758624428
5,global0.100_et40.025,0.7352578238479953
5,global0.100_et40.050,0.7352578238479953
5,global0.100_et40.075,0.7353743881408047
5,global0.100_et40.100,0.7365740433160535
5,global0.100_et40.125,0.7361787338892197
5,global0.100_et40.150,0.7349132737634297
5,global0.100_et40.200,0.7351811505132156
5,global0.100_et40.250,0.734365757471035
5,global0.100_et40.300,0.7334490379138536
5,global0.150_et40.025,0.7352549081447469
5,global0.150_et40.050,0.735534389922277
5,global0.150_et40.075,0.7351253630457447
5,global0.150_et40.100,0.7367304280881387
5,global0.150_et40.125,0.7365947993377541
5,global0.150_et40.150,0.7360280215889216
5,global0.150_et40.200,0.7353336649979805
5,global0.150_et40.250,0.7350344097788932
5,global0.150_et40.300,0.7345373141879619
5,global0.200_et40.025,0.7363747260567308
5,global0.200_et40.050,0.736262689978053
5,global0.200_et40.075,0.736488283678811
5,global0.200_et40.100,0.7368902648702719
5,global0.200_et40.125,0.7364701174809493
5,global0.200_et40.150,0.7360386929791547
5,global0.200_et40.200,0.7356327682177893
5,global0.200_et40.250,0.7357634921012356
5,global0.200_et40.300,0.734938530132386
5,global0.100_rf10.025,0.7352578238479953
5,global0.100_rf10.050,0.7352578238479953
5,global0.100_rf10.075,0.7353502778731299
5,global0.100_rf10.100,0.7363402900900112
5,global0.100_rf10.125,0.7364871472153328
5,global0.100_rf10.150,0.735759544475104
5,global0.100_rf10.200,0.7354686939282343
5,global0.100_rf10.250,0.7357510336388797
5,global0.100_rf10.300,0.7341284025553027
5,global0.150_rf10.025,0.7352549081447469
5,global0.150_rf10.050,0.7351238808910782
5,global0.150_rf10.075,0.7363569018685535
5,global0.150_rf10.100,0.7366238318284446
5,global0.150_rf10.125,0.7369146152634958
5,global0.150_rf10.150,0.7364415347182965
5,global0.150_rf10.200,0.7357749958503242
5,global0.150_rf10.250,0.7364583041908727
5,global0.150_rf10.300,0.734401831602638
5,global0.200_rf10.025,0.7363747260567308
5,global0.200_rf10.050,0.7363937172317216
5,global0.200_rf10.075,0.7369369413610357
5,global0.200_rf10.100,0.7372170534058536
5,global0.200_rf10.125,0.7366475035533937
5,global0.200_rf10.150,0.7360721979648233
5,global0.200_rf10.200,0.7359373564795355
5,global0.200_rf10.250,0.7367361885698632
5,global0.200_rf10.300,0.7352332851334126
5,global0.100_rf20.025,0.7352578238479953
5,global0.100_rf20.050,0.7352578238479953
5,global0.100_rf20.075,0.735487114216863
5,global0.100_rf20.100,0.7363402900900112
5,global0.100_rf20.125,0.7360666247207123
5,global0.100_rf20.150,0.7356159277063626
5,global0.100_rf20.200,0.7355997211819032
5,global0.100_rf20.250,0.7353251203314675
5,global0.100_rf20.300,0.7334117078638184
5,global0.150_rf20.025,0.7352549081447469
5,global0.150_rf20.050,0.735534389922277
5,global0.150_rf20.075,0.7363569018685535
5,global0.150_rf20.100,0.7367677581381741
5,global0.150_rf20.125,0.7366345032186778
5,global0.150_rf20.150,0.7367216467631145
5,global0.150_rf20.200,0.7361951639175511
5,global0.150_rf20.250,0.7360345753773133
5,global0.150_rf20.300,0.7347937264482004
5,global0.200_rf20.025,0.7363747260567308
5,global0.200_rf20.050,0.7363937172317216
5,global0.200_rf20.075,0.7369369413610357
5,global0.200_rf20.100,0.7373480806595225
5,global0.200_rf20.125,0.7363673915085758
5,global0.200_rf20.150,0.7359131449332058
5,global0.200_rf20.200,0.7364614374345803
5,global0.200_rf20.250,0.7369880273930164
5,global0.200_rf20.300,0.7352026380808595
17,global_conditional,0.7110856344475223
