combination,rule,class_acc,azimuth_acc,joint_macro_f1
replace_gcc,conditional,0.7724999785423279,0.7250000238418579,0.737091258595498
replace_gcc,0.15,0.7724999785423279,0.6991666555404663,0.7361706912546767
replace_gcc,0.3,0.7724999785423279,0.7258333563804626,0.7359650208423535
replace_gcc_rw2.5,conditional,0.7716666460037231,0.7229166626930237,0.7359271830393567
replace_gcc_rw2.5,0.15,0.7716666460037231,0.6958333253860474,0.7353056750267083
replace_gcc_rw2.0,conditional,0.7695833444595337,0.721666693687439,0.7352994763226564
replace_gcc_rw2.5,0.3,0.7716666460037231,0.7254166603088379,0.7350784310682009
replace_gcc_rw2.0,0.15,0.7695833444595337,0.6941666603088379,0.7344127869349674
replace_gcc_rw1.5,conditional,0.7679166793823242,0.7208333611488342,0.7341774050508344
replace_gcc_rw2.0,0.3,0.7695833444595337,0.7254166603088379,0.7341659382271238
replace_gcc,0.0,0.7724999785423279,0.57833331823349,0.7337906409016218
replace_gcc_rw2.5,0.0,0.7716666460037231,0.57791668176651,0.7336469127645855
replace_gcc_rw1.5,0.15,0.7679166793823242,0.6920833587646484,0.7331086066729661
replace_gcc_rw1.5,0.3,0.7679166793823242,0.7229166626930237,0.7323050517949955
replace_gcc_rw2.0,0.0,0.7695833444595337,0.574999988079071,0.7321598048132358
replace_gcc_rw1.5,0.0,0.7679166793823242,0.5695833563804626,0.7305652617969639
replace_gcc_rw1.0,conditional,0.7641666531562805,0.7166666388511658,0.7301159575317548
replace_gcc_rw1.0,0.3,0.7641666531562805,0.7174999713897705,0.7289515322987449
replace_gcc_rw1.0,0.15,0.7641666531562805,0.690833330154419,0.7283589138786436
two_gcc_circ,conditional,0.7729166746139526,0.6816666722297668,0.7277696698825299
two_gcc_circ,0.15,0.7729166746139526,0.6670833230018616,0.7275152431028101
replace_gcc_rw1.0,0.0,0.7641666531562805,0.5691666603088379,0.7267520647402943
two_gcc_circ,0.0,0.7729166746139526,0.6324999928474426,0.7264118022285628
two_gcc_circ,0.3,0.7729166746139526,0.6858333349227905,0.7262062051256768
two_gcc_angle,0.0,0.7679166793823242,0.6391666531562805,0.7257904261089699
public_like,conditional,0.7616666555404663,0.6858333349227905,0.7247805319815194
public_like,0.15,0.7616666555404663,0.6737499833106995,0.724493713120824
replace_gcc_rw0.5,0.3,0.7570833563804626,0.7145833373069763,0.7242096450091142
two_gcc_angle,0.15,0.7679166793823242,0.668749988079071,0.7238845724453569
two_gcc_angle,conditional,0.7679166793823242,0.6858333349227905,0.7237857121353688
replace_gcc_rw0.5,conditional,0.7570833563804626,0.7112500071525574,0.7232555607232706
public_like,0.0,0.7616666555404663,0.6420833468437195,0.7229842199539207
two_gcc_angle,0.3,0.7679166793823242,0.6862499713897705,0.7221935118461337
replace_gcc_rw0.5,0.15,0.7570833563804626,0.6858333349227905,0.7221551977618622
public_like,0.3,0.7616666555404663,0.6866666674613953,0.7217009009104851
replace_gcc_rw0.5,0.0,0.7570833563804626,0.5604166388511658,0.7194088951753415
