true_sound_class,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
alarm,27,0.0,0.0,0.0,0.0,33.888888888888886
engine,22,0.0,0.0,0.0,0.0,31.136363636363637
footsteps,24,0.0,0.0,0.0,0.0,38.958333333333336
knock,23,0.0,0.0,0.0,0.0,44.130434782608695
speech,21,0.0,0.0,0.0,0.0,33.57142857142857
running_water,28,0.0,0.0,0.0,0.0,32.67857142857143
typing,25,0.0,0.0,0.0,0.0,37.0
dog_bark,30,1.0,0.13333333333333333,0.26666666666666666,0.36666666666666664,39.833333333333336
