true_sound_class,true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
alarm,-15,3,0.0,0.0,0.0,0.0,30.0
alarm,15,3,0.0,0.0,0.0,0.0,0.0
dog_bark,-80,3,1.0,0.0,0.0,0.0,95.0
dog_bark,40,3,1.0,0.0,0.0,0.0,25.0
engine,-15,3,0.0,0.0,0.0,0.0,30.0
footsteps,-30,3,0.0,0.0,0.0,0.0,45.0
footsteps,-10,3,0.0,0.0,0.0,0.0,25.0
knock,-80,3,0.0,0.0,0.0,0.0,95.0
typing,-25,3,0.0,0.0,0.0,0.0,40.0
typing,-80,4,0.0,0.0,0.0,0.0,95.0
typing,40,4,0.0,0.0,0.0,0.0,25.0
alarm,-5,5,0.0,0.0,0.0,0.0,20.0
dog_bark,-5,1,1.0,0.0,0.0,1.0,20.0
dog_bark,10,1,1.0,1.0,1.0,1.0,5.0
dog_bark,15,1,1.0,1.0,1.0,1.0,0.0
dog_bark,25,1,1.0,0.0,1.0,1.0,10.0
dog_bark,20,2,1.0,1.0,1.0,1.0,5.0
dog_bark,35,2,1.0,0.0,0.0,1.0,20.0
dog_bark,5,3,1.0,0.0,1.0,1.0,10.0
