true_sound_class,true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
alarm,-15,3,0.0,0.0,0.0,0.0,30.0
alarm,35,3,0.0,0.0,0.0,0.0,20.0
alarm,40,3,0.0,0.0,0.0,0.0,25.0
alarm,80,3,0.0,0.0,0.0,0.0,65.0
dog_bark,-45,3,0.3333333333333333,0.0,0.0,0.0,60.0
dog_bark,-40,3,0.6666666666666666,0.0,0.0,0.0,55.0
dog_bark,-30,3,0.6666666666666666,0.0,0.0,0.0,45.0
dog_bark,40,3,1.0,0.0,0.0,0.0,25.0
dog_bark,80,3,0.6666666666666666,0.0,0.0,0.0,65.0
engine,-15,3,0.0,0.0,0.0,0.0,30.0
engine,0,3,0.0,0.0,0.0,0.0,15.0
engine,10,3,0.0,0.0,0.0,0.0,5.0
engine,35,3,0.0,0.0,0.0,0.0,20.0
engine,65,3,0.0,0.0,0.0,0.0,50.0
engine,80,3,0.0,0.0,0.0,0.0,65.0
footsteps,-30,3,0.0,0.0,0.0,0.0,45.0
footsteps,20,3,0.0,0.0,0.0,0.0,5.0
knock,-80,3,0.0,0.0,0.0,0.0,95.0
knock,-45,3,0.6666666666666666,0.0,0.0,0.0,60.0
knock,-15,3,0.3333333333333333,0.0,0.0,0.0,30.0
knock,-10,3,0.3333333333333333,0.0,0.0,0.0,25.0
running_water,-65,3,0.0,0.0,0.0,0.0,80.0
running_water,-45,3,0.0,0.0,0.0,0.0,60.0
running_water,-20,3,0.0,0.0,0.0,0.0,35.0
running_water,-15,3,0.0,0.0,0.0,0.0,30.0
running_water,5,3,0.0,0.0,0.0,0.0,10.0
running_water,25,3,0.0,0.0,0.0,0.0,10.0
running_water,45,3,0.0,0.0,0.0,0.0,30.0
running_water,55,3,0.0,0.0,0.0,0.0,40.0
speech,20,3,0.0,0.0,0.0,0.0,5.0
speech,45,3,0.0,0.0,0.0,0.0,30.0
typing,-65,3,0.0,0.0,0.0,0.0,80.0
typing,-40,3,0.0,0.0,0.0,0.0,55.0
typing,-25,3,0.0,0.0,0.0,0.0,40.0
typing,-10,3,0.0,0.0,0.0,0.0,25.0
typing,20,3,0.0,0.0,0.0,0.0,5.0
typing,35,3,0.0,0.0,0.0,0.0,20.0
alarm,15,4,0.0,0.0,0.0,0.0,0.0
dog_bark,-80,4,0.75,0.0,0.0,0.0,95.0
engine,-10,4,0.0,0.0,0.0,0.0,25.0
knock,-55,4,0.5,0.0,0.0,0.0,70.0
running_water,-30,4,0.0,0.0,0.0,0.0,45.0
running_water,20,4,0.0,0.0,0.0,0.0,5.0
running_water,30,4,0.0,0.0,0.0,0.0,15.0
speech,65,4,0.0,0.0,0.0,0.0,50.0
typing,40,4,0.0,0.0,0.0,0.0,25.0
footsteps,-65,5,0.0,0.0,0.0,0.0,80.0
footsteps,5,5,0.0,0.0,0.0,0.0,10.0
typing,-80,5,0.0,0.0,0.0,0.0,95.0
typing,-35,5,0.0,0.0,0.0,0.0,50.0
typing,10,5,0.0,0.0,0.0,0.0,5.0
alarm,-5,6,0.0,0.0,0.0,0.0,20.0
alarm,65,6,0.0,0.0,0.0,0.0,50.0
footsteps,-10,7,0.0,0.0,0.0,0.0,25.0
dog_bark,25,4,0.25,0.0,0.25,0.25,10.0
dog_bark,-5,3,0.3333333333333333,0.0,0.0,0.3333333333333333,20.0
dog_bark,10,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0
dog_bark,15,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
knock,0,2,0.5,0.0,0.0,0.5,15.0
knock,5,2,0.5,0.0,0.5,0.5,10.0
knock,10,2,0.5,0.5,0.5,0.5,5.0
knock,35,2,0.5,0.0,0.0,0.5,20.0
dog_bark,20,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0
dog_bark,35,3,0.6666666666666666,0.0,0.0,0.6666666666666666,20.0
knock,-5,3,0.6666666666666666,0.0,0.0,0.6666666666666666,20.0
dog_bark,5,4,0.75,0.0,0.75,0.75,10.0
knock,15,5,0.8,0.8,0.8,0.8,0.0
