true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
-80,16,0.1875,0.0,0.0,0.0,95.0
-65,19,0.05263157894736842,0.0,0.0,0.0,80.0
-55,14,0.21428571428571427,0.0,0.0,0.0,70.0
-45,12,0.25,0.0,0.0,0.0,60.0
-40,12,0.25,0.0,0.0,0.0,55.0
-35,16,0.1875,0.0,0.0,0.0,50.0
-30,19,0.21052631578947367,0.0,0.0,0.0,45.0
-25,11,0.09090909090909091,0.0,0.0,0.0,40.0
-20,10,0.0,0.0,0.0,0.0,35.0
-15,16,0.0625,0.0,0.0,0.0,30.0
-10,24,0.041666666666666664,0.0,0.0,0.0,25.0
65,21,0.09523809523809523,0.0,0.0,0.0,50.0
40,16,0.1875,0.0,0.0,0.0,25.0
45,12,0.08333333333333333,0.0,0.0,0.0,30.0
55,13,0.15384615384615385,0.0,0.0,0.0,40.0
30,15,0.0,0.0,0.0,0.0,15.0
80,18,0.1111111111111111,0.0,0.0,0.0,65.0
0,16,0.0625,0.0,0.0,0.0625,15.0
25,12,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,10.0
20,19,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,5.0
10,17,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,5.0
35,18,0.16666666666666666,0.0,0.0,0.16666666666666666,20.0
-5,16,0.1875,0.0,0.0,0.1875,20.0
5,20,0.2,0.0,0.2,0.2,10.0
15,18,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.0
