true_azimuth,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
30,96,0.625,0.5416666666666666,0.59375,0.6041666666666666,4.53125
80,96,0.6875,0.5729166666666666,0.5729166666666666,0.625,4.791666666666667
-35,96,0.6666666666666666,0.5520833333333334,0.6041666666666666,0.6354166666666666,6.197916666666667
-20,96,0.6354166666666666,0.625,0.625,0.6354166666666666,2.9166666666666665
-15,96,0.65625,0.6145833333333334,0.6354166666666666,0.6354166666666666,5.416666666666667
55,96,0.65625,0.5208333333333334,0.6354166666666666,0.65625,2.2395833333333335
45,96,0.6666666666666666,0.5208333333333334,0.6458333333333334,0.65625,3.4895833333333335
-10,96,0.6666666666666666,0.6145833333333334,0.6458333333333334,0.65625,3.6979166666666665
65,96,0.6770833333333334,0.5,0.6145833333333334,0.6666666666666666,3.3333333333333335
-40,96,0.7083333333333334,0.625,0.6458333333333334,0.6770833333333334,5.416666666666667
35,96,0.6875,0.65625,0.6770833333333334,0.6770833333333334,2.96875
-80,96,0.7083333333333334,0.6041666666666666,0.6041666666666666,0.6770833333333334,6.71875
0,96,0.7083333333333334,0.65625,0.6666666666666666,0.6875,2.7604166666666665
-30,96,0.71875,0.6145833333333334,0.6875,0.6875,4.375
-5,96,0.6979166666666666,0.6666666666666666,0.6979166666666666,0.6979166666666666,2.2395833333333335
15,96,0.7083333333333334,0.6458333333333334,0.6979166666666666,0.6979166666666666,3.90625
20,96,0.7083333333333334,0.65625,0.6770833333333334,0.6979166666666666,3.4375
-55,96,0.7395833333333334,0.5520833333333334,0.6979166666666666,0.6979166666666666,5.833333333333333
-65,96,0.7395833333333334,0.4583333333333333,0.6145833333333334,0.7083333333333334,6.979166666666667
-25,96,0.7395833333333334,0.6770833333333334,0.7083333333333334,0.7083333333333334,4.322916666666667
-45,96,0.7291666666666666,0.6354166666666666,0.6875,0.7083333333333334,4.427083333333333
5,96,0.75,0.6458333333333334,0.6875,0.7083333333333334,5.729166666666667
40,96,0.7395833333333334,0.6666666666666666,0.6875,0.7083333333333334,4.583333333333333
25,96,0.7708333333333334,0.6875,0.7395833333333334,0.75,3.4375
10,96,0.78125,0.7291666666666666,0.7604166666666666,0.7604166666666666,3.3854166666666665
