true_sound_class,samples,class_acc,joint_at_5,joint_at_10,joint_at_20,mean_azimuth_abs_error
footsteps,300,0.47,0.43666666666666665,0.4633333333333333,0.47,3.4166666666666665
alarm,300,0.6633333333333333,0.42,0.5033333333333333,0.5433333333333333,10.6
speech,300,0.6233333333333333,0.5633333333333334,0.6033333333333334,0.6133333333333333,3.6333333333333333
engine,300,0.7266666666666667,0.65,0.69,0.7133333333333334,3.466666666666667
running_water,300,0.7533333333333333,0.7066666666666667,0.7466666666666667,0.7533333333333333,2.4833333333333334
dog_bark,300,0.77,0.69,0.7366666666666667,0.7666666666666667,3.1
knock,300,0.8,0.68,0.7466666666666667,0.78,4.183333333333334
typing,300,0.8166666666666667,0.73,0.7933333333333333,0.8066666666666666,3.4
